EPCI;LIBEPCI;DEP
200069193;Communauté de communes de la Dombes;01
240100883;Communauté de communes de la Plaine de l'Ain;01
200042497;Communauté de communes Dombes Saône Vallée;01
200040350;Communauté de communes Bugey Sud;01
200042935;Communauté d'agglomération Haut - Bugey Agglomération;01
200071371;Communauté de communes Bresse et Saône;01
200071751;Communauté d'agglomération du Bassin de Bourg-en-Bresse;01
240100610;Communauté de communes de la Côtière à Montluel;01
240100891;Communauté de communes Terre Valserhône;01
200070555;Communauté de communes de la Veyle;01
240100800;Communauté de communes de Miribel et du Plateau;01
200029999;Communauté de communes Rives de l'Ain - Pays du Cerdon;01
240100750;Communauté d'agglomération du Pays de Gex;01
200070118;Communauté de communes Val de Saône Centre;01
200071785;Communauté d'agglomération Chauny-Tergnier-La Fère;02
240200477;Communauté d'agglomération GrandSoissons Agglomération;02
240200469;Communauté de communes du Pays de la Serre;02
240200576;Communauté de communes de la Champagne Picarde;02
200071983;Communauté de communes Thiérache Sambre et Oise;02
240200592;Communauté de communes du Chemin des Dames;02
240200501;Communauté de communes du Val de l'Aisne;02
200040426;Communauté de communes du Val de l'Oise;02
200071991;Communauté de communes Retz-en-Valois;02
240200519;Communauté de communes du Canton d'Oulchy-le-Château;02
200071769;Communauté de communes Picardie des Châteaux;02
200071892;Communauté d'agglomération du Saint-Quentinois;02
240200600;Communauté de communes des Trois Rivières;02
240200634;Communauté de communes des Portes de la Thiérache;02
200072031;Communauté d'agglomération de la Région de Château-Thierry;02
200043495;Communauté d'agglomération du Pays de Laon;02
240200493;Communauté de communes du Pays du Vermandois;02
240200444;Communauté de communes de la Thiérache du Centre;02
240200584;Communauté de communes du Canton de Charly-sur-Marne;02
200071363;Communauté d'agglomération Vichy Communauté;03
200071496;Communauté de communes du Bocage Bourbonnais;03
240300558;Communauté de communes du Pays de Tronçais;03
240300491;Communauté de communes du Pays de Lapalisse;03
240300657;Communauté de communes du Pays d'Huriel;03
200071082;Communauté d'agglomération Montluçon Communauté;03
200071140;Communauté d'agglomération Moulins Communauté;03
240300566;Communauté de communes du Val de Cher;03
200071470;Communauté de communes Entr'Allier Besbre et Loire;03
200071389;Communauté de communes Saint-Pourçain Sioule Limagne;03
200071512;Communauté de communes Commentry Montmarault Néris Communauté;03
200067437;Communauté d'agglomération Provence-Alpes-Agglomération;04
200034700;Communauté d'agglomération Durance-Lubéron-Verdon Agglomération;04
200068625;Communauté de communes Alpes-Provence-Verdon - Sources de Lumière;04
200071025;Communauté de communes Haute-Provence-Pays de Banon;04
200071033;Communauté de communes Jabron-Lure-Vançon-Durance;04
200068765;Communauté de communes du Sisteronais-Buëch;04
200072304;Communauté de communes Vallée de l'Ubaye - Serre-Ponçon;04
240400440;Communauté de communes Pays Forcalquier et Montagne de Lure;04
200067452;Communauté de communes du Guillestrois et du Queyras;05
200068096;Communauté de communes Champsaur-Valgaudemar;05
240500462;Communauté de communes du Pays des Ecrins;05
200067445;Communauté de communes Buëch-Dévoluy;05
200067320;Communauté de communes Serre-Ponçon Val d'Avance;05
200067742;Communauté de communes Serre-Ponçon;05
200067825;Communauté d'agglomération Gap-Tallard-Durance;05
240500439;Communauté de communes du Briançonnais;05
200039931;Communauté de communes Alpes d'Azur;06
200039857;Communauté d'agglomération du Pays de Grasse;06
240600585;Communauté d'agglomération de Sophia Antipolis;06
200030195;Métropole Nice Côte d'Azur;06
240600551;Communauté d'agglomération de la Riviera Française;06
240600593;Communauté de communes du Pays des Paillons;06
200039915;Communauté d'agglomération Cannes Pays de Lérins;06
200041465;Communauté de communes Val Eyrieux;07
200073245;Communauté de communes du Bassin d'Aubenas;07
200071413;Communauté d'agglomération Privas Centre Ardèche;07
200071405;Communauté de communes Ardèche Rhône Coiron;07
200041366;Communauté de communes Rhône Crussol;07
200072015;Communauté d'agglomération Annonay Rhône Agglo;07
200073096;Communauté d'agglomération Arche Agglo;07
200039832;Communauté de communes Pays des Vans en Cévennes;07
200072007;Communauté de communes de la Montagne d'Ardèche;07
200039808;Communauté de communes des Gorges de l'Ardèche;07
200039824;Communauté de communes Ardèche des Sources et Volcans;07
240700302;Communauté de communes du Pays Beaume-Drobie;07
240700815;Communauté de communes Berg et Coiron;07
240700864;Communauté de communes du Rhône aux Gorges de l'Ardèche;07
240700617;Communauté de communes Val de Ligne;07
200016905;Communauté de communes du Pays de Lamastre;07
240700716;Communauté de communes du Val d'Ay;07
200043156;Communauté de communes du Pays Rethélois;08
200041630;Ardenne Métropole;08
240800862;Communauté de communes des Crêtes Préardennaises;08
